quadgram,count,logprob
TION,16665142795,-650
ATIO,8806923204,-742
THAT,8006441484,-756
THER,6709891631,-782
WITH,6099136075,-795
MENT,5424670138,-812
IONS,4103605496,-853
THIS,3830166510,-863
HERE,3590397215,-872
FROM,3473404890,-877
OULD,3254639017,-886
TING,3206810019,-888
HICH,3151330949,-891
WHIC,3144376626,-891
CTIO,3042358746,-896
ENCE,2858704883,-905
HAVE,2817502046,-907
OTHE,2691858440,-913
IGHT,2665744211,-915
SION,2611036913,-918
EVER,2499881214,-924
ICAL,2492121442,-925
THEY,2464213289,-926
INTE,2456662311,-927
OUGH,2398123895,-930
ANCE,2356151685,-933
WERE,2341551381,-934
TIVE,2305502426,-936
OVER,2278057794,-938
DING,2272830002,-938
PRES,2262436497,-939
NTER,2233448271,-940
COMP,2217995855,-941
ABLE,2196502923,-943
HEIR,2181293449,-944
THEI,2177918715,-944
ALLY,2160442050,-945
ATED,2057217802,-952
RING,2045153376,-953
TURE,2042026168,-953
CONT,2040414869,-953
ENTS,2023167989,-955
CONS,2021615245,-955
RATI,2018379478,-955
THIN,1996331280,-957
PART,1980342010,-958
FORM,1953053447,-960
NING,1921768297,-962
ECTI,1880194020,-965
SOME,1855503406,-967
PORT,1854632642,-967
ENTI,1829441946,-969
ONAL,1808240795,-971
ITIO,1802906061,-971
HING,1798474829,-972
OUND,1783908816,-973
WILL,1748415947,-976
REAT,1733252336,-977
COMM,1726950118,-978
NDER,1726180132,-978
TIME,1722071779,-978
EMEN,1709331191,-979
IONA,1693327839,-980
MORE,1690502893,-981
STAT,1672247222,-982
STAN,1622628091,-986
KING,1622079871,-987
BEEN,1619442392,-987
RESS,1610671325,-988
THOU,1578072030,-991
WHEN,1565941307,-992
ACTI,1562721748,-992
LATI,1547413752,-993
THEM,1522937493,-996
SPEC,1494738687,-998
VERY,1493949392,-998
SIDE,1476738068,-1000
THES,1475557280,-1000
WOUL,1474214280,-1000
TAIN,1474021338,-1000
NATI,1452154351,-1003
RATE,1448739949,-1003
CENT,1436800791,-1004
OUNT,1435934830,-1004
RESE,1423950372,-1005
SING,1408302253,-1007
WHAT,1385862595,-1009
TATE,1377992861,-1010
EVEN,1366470808,-1011
WORK,1356427702,-1012
UNDE,1340061158,-1014
MBER,1325454134,-1016
HESE,1325244022,-1016
CIAL,1320953046,-1016
THAN,1314018902,-1017
ERAL,1306770966,-1018
ATER,1303448639,-1018
TTER,1299975118,-1018
SENT,1288296328,-1020
FORE,1278964621,-1021
RACT,1266855669,-1022
LING,1266357178,-1022
CESS,1265633965,-1022
INST,1252528758,-1024
ERAT,1244870115,-1025
COUN,1243626584,-1025
ANGE,1228479534,-1027
TIES,1227214014,-1027
CATI,1209909393,-1029
LATE,1198633561,-1030
MPLE,1189744599,-1031
INTO,1188978023,-1031
EACH,1186246426,-1032
DENT,1186113181,-1032
SERV,1178010518,-1033
ONLY,1177468245,-1033
ABOU,1175410512,-1033
TATI,1174665725,-1033
REAS,1158168594,-1035
IOUS,1155815357,-1035
SSIO,1153308967,-1036
MOST,1151903072,-1036
ESTI,1150736501,-1036
NESS,1141346404,-1037
CTIV,1138786553,-1038
LITY,1137752126,-1038
ICAT,1137324593,-1038
STER,1136283023,-1038
ERED,1133896103,-1038
FERE,1121598093,-1040
ATES,1117577871,-1040
LECT,1115392112,-1041
SUCH,1104113462,-1042
ARTI,1096620035,-1043
INDI,1094606203,-1043
FFER,1093564498,-1043
STRA,1091441300,-1044
INGS,1083641681,-1045
BOUT,1081088367,-1045
RENT,1078746554,-1045
EREN,1076274144,-1046
ATTE,1074569080,-1046
ENER,1064117352,-1047
ATUR,1060974566,-1048
ROUG,1049875282,-1049
LAND,1048325721,-1050
COME,1041681686,-1050
SOCI,1040830470,-1051
KNOW,1040233016,-1051
ALSO,1039173415,-1051
LLOW,1038837384,-1051
REST,1035521572,-1051
VERS,1031637548,-1052
CHAN,1026167664,-1053
ATIV,1025581865,-1053
VING,1022077348,-1053
INED,1020631484,-1053
CALL,1017795198,-1054
PERS,1015908105,-1054
ESSI,1015768377,-1054
EFOR,1006736254,-1055
LIKE,1005093951,-1056
GENE,1004389328,-1056
DIFF,1003495068,-1056
SELF,1003405291,-1056
AUSE,999351678,-1056
PROV,997614274,-1057
RIES,991228921,-1058
ILIT,991212633,-1058
FFIC,989926979,-1058
IDEN,989026728,-1058
STOR,987846723,-1058
EVEL,986355219,-1058
PERI,985608234,-1058
THEN,984575163,-1059
LONG,983178409,-1059
COND,974112778,-1060
FECT,974037048,-1060
CAUS,972700364,-1060
RICA,969490143,-1061
HOSE,965471224,-1061
YEAR,963235992,-1062
UTIO,958437733,-1062
ESEN,949121241,-1064
JECT,947396391,-1064
RODU,946555042,-1064
HOUG,946316599,-1064
THRO,945675982,-1064
ODUC,945592739,-1064
IRST,944112594,-1065
CTED,940679113,-1065
AFTE,940158502,-1065
TERN,939104159,-1065
CONC,937988358,-1066
FTER,934856321,-1066
FIRS,932344975,-1066
TABL,928819098,-1067
CHAR,928342768,-1067
ONCE,927694521,-1067
ENTA,927667114,-1067
ENDE,924084096,-1068
UGHT,922949111,-1068
IENT,920941593,-1068
ISTI,914212602,-1069
WHER,907608714,-1070
CREA,905231948,-1071
TICA,905184965,-1071
EXPE,904340539,-1071
OWER,902884483,-1071
LESS,902019805,-1071
NERA,900190348,-1071
ORMA,898800370,-1072
SHOU,895613941,-1072
READ,895194331,-1072
STRU,892397865,-1073
COUL,891040687,-1073
GAIN,887976213,-1073
RELA,885758947,-1074
TERI,881079945,-1075
ONTR,880426590,-1075
ENTE,879185969,-1075
ECON,873584587,-1076
ONSI,872987930,-1076
IFIC,870753863,-1076
TRAN,867346575,-1077
PROP,866963708,-1077
HOUL,866829548,-1077
SURE,863332880,-1078
ESSE,862637027,-1078
ATHE,858400596,-1078
PECT,858335845,-1078
MATI,853089460,-1079
CTOR,852815120,-1079
IVER,852803292,-1079
NCES,847942639,-1080
GREA,845896706,-1080
TAKE,845840876,-1080
DITI,845631859,-1081
TERS,845097164,-1081
INES,842609054,-1081
POLI,840271365,-1081
ALLE,838699038,-1082
UNIT,837259984,-1082
COUR,837250547,-1082
WELL,836261847,-1082
STRI,833430734,-1083
ELAT,832145646,-1083
PECI,827282240,-1084
YOUR,826975488,-1084
FACT,825709953,-1084
TENT,825700005,-1084
ARGE,824897796,-1084
NTED,824105491,-1084
SIGN,822739381,-1084
TANT,819433744,-1085
RENC,819315546,-1085
DERS,817309330,-1085
TORY,815900488,-1086
NTIN,815677331,-1086
ULAR,812037152,-1086
MANY,811720338,-1086
EARS,809768639,-1087
LACE,809197568,-1087
OLOG,808725104,-1087
DUCT,808535503,-1087
BECA,805500397,-1088
AINS,804352907,-1088
OPER,801675244,-1088
APPE,798762910,-1089
ITIE,798112421,-1089
LINE,796118091,-1089
EASE,794893496,-1089
DIST,790634245,-1090
SITI,790455051,-1090
ULAT,789754686,-1090
TRAT,783896191,-1091
STIN,783639923,-1092
LISH,782431183,-1092
STIC,781692639,-1092
DISC,780802235,-1092
TERM,777856917,-1093
PLAC,777709781,-1093
POSI,777009203,-1093
ICUL,776031371,-1093
NDIN,774103927,-1093
PROD,771595395,-1094
GIVE,770567099,-1094
ATIN,769053173,-1094
ICAN,768894248,-1094
OINT,767669301,-1094
SAID,767405715,-1095
VENT,767349764,-1095
USED,766235560,-1095
RECT,764010510,-1095
ISTE,761899322,-1096
TTLE,761344923,-1096
OSIT,759606488,-1096
RESP,759544789,-1096
UBLI,757904154,-1096
IBLE,754781671,-1097
WARD,752768256,-1097
HROU,752568391,-1097
MADE,750074834,-1098
ARCH,748976901,-1098
WEEN,748583074,-1098
TWEE,748387436,-1098
BETW,746549914,-1098
ETWE,744913566,-1099
STUD,743961516,-1099
WING,743216136,-1099
CEPT,742875473,-1099
UCTI,742489329,-1099
PROC,741835248,-1099
RIGH,740322548,-1100
GROU,739898845,-1100
VIDE,738956623,-1100
IFFE,738460905,-1100
TERE,737610819,-1100
AGAI,737586608,-1100
HIGH,735865456,-1101
ONST,732505495,-1101
TANC,731572163,-1101
LLED,731496700,-1101
PUBL,730060984,-1102
JUST,728904166,-1102
RSON,728502238,-1102
OMPA,724772644,-1103
PLAN,723750138,-1103
RTIC,721680428,-1103
OCIA,720229665,-1104
FFEC,719776713,-1104
TRUC,717847087,-1104
EING,717772440,-1104
YING,717421933,-1104
RANS,717296607,-1104
HANG,714490851,-1105
ERSO,711956528,-1105
BILI,711212303,-1105
LITI,709616648,-1106
MAIN,709423275,-1106
ACCO,706600330,-1106
OPLE,704732655,-1107
